method: expEuler
test: test1
0.512 -0.863719 -0.638198 
0.513 -0.866039 -0.642787 
0.514 -0.868358 -0.647397 
0.515 -0.870675 -0.652026 
0.516 -0.872992 -0.656675 
0.517 -0.875306 -0.661344 
0.518 -0.87762 -0.666034 
0.519 -0.879931 -0.670743 
0.52 -0.882241 -0.675472 
0.521 -0.884549 -0.680222 
0.522 -0.886856 -0.684992 
0.523 -0.88916 -0.689782 
0.524 -0.891463 -0.694593 
0.525 -0.893763 -0.699424 
0.526 -0.896062 -0.704276 
0.527 -0.898358 -0.709149 
0.528 -0.900652 -0.714042 
0.529 -0.902943 -0.718955 
0.53 -0.905232 -0.72389 
0.531 -0.907518 -0.728845 
0.532 -0.909802 -0.733822 
0.533 -0.912083 -0.738819 
0.534 -0.914362 -0.743837 
0.535 -0.916637 -0.748877 
0.536 -0.91891 -0.753937 
0.537 -0.921179 -0.759019 
0.538 -0.923445 -0.764122 
0.539 -0.925708 -0.769247 
0.54 -0.927968 -0.774393 
0.541 -0.930224 -0.779561 
0.542 -0.932477 -0.78475 
0.543 -0.934726 -0.78996 
0.544 -0.936971 -0.795193 
0.545 -0.939213 -0.800447 
0.546 -0.941451 -0.805723 
0.547 -0.943684 -0.811021 
0.548 -0.945914 -0.816341 
0.549 -0.94814 -0.821682 
0.55 -0.950361 -0.827046 
0.551 -0.952577 -0.832433 
0.552 -0.95479 -0.837841 
0.553 -0.956997 -0.843272 
0.554 -0.9592 -0.848725 
0.555 -0.961398 -0.8542 
0.556 -0.963591 -0.859698 
0.557 -0.965779 -0.865219 
0.558 -0.967962 -0.870762 
0.559 -0.97014 -0.876328 
0.56 -0.972312 -0.881917 
0.561 -0.974479 -0.887529 
0.562 -0.97664 -0.893163 
0.563 -0.978796 -0.898821 
0.564 -0.980946 -0.904502 
0.565 -0.983089 -0.910205 
0.566 -0.985227 -0.915932 
0.567 -0.987359 -0.921683 
0.568 -0.989484 -0.927456 
0.569 -0.991603 -0.933253 
0.57 -0.993715 -0.939074 
0.571 -0.99582 -0.944918 
0.572 -0.997919 -0.950786 
0.573 -1.00001 -0.956677 
0.574 -1.0021 -0.962593 
0.575 -1.00417 -0.968532 
0.576 -1.00624 -0.974495 
0.577 -1.00831 -0.980482 
0.578 -1.01036 -0.986493 
0.579 -1.01241 -0.992529 
0.58 -1.01445 -0.998588 
0.581 -1.01648 -1.00467 
0.582 -1.0185 -1.01078 
0.583 -1.02052 -1.01691 
0.584 -1.02253 -1.02307 
0.585 -1.02453 -1.02925 
0.586 -1.02651 -1.03546 
0.587 -1.0285 -1.04169 
0.588 -1.03047 -1.04795 
0.589 -1.03243 -1.05423 
0.59 -1.03438 -1.06053 
0.591 -1.03633 -1.06686 
0.592 -1.03826 -1.07322 
0.593 -1.04019 -1.0796 
0.594 -1.0421 -1.08601 
0.595 -1.04401 -1.09244 
0.596 -1.0459 -1.0989 
0.597 -1.04779 -1.10538 
0.598 -1.04966 -1.11189 
0.599 -1.05152 -1.11842 
0.6 -1.05337 -1.12498 
0.601 -1.05522 -1.13157 
0.602 -1.05705 -1.13818 
0.603 -1.05886 -1.14482 
0.604 -1.06067 -1.15148 
0.605 -1.06247 -1.15817 
0.606 -1.06425 -1.16489 
0.607 -1.06602 -1.17163 
0.608 -1.06778 -1.1784 
0.609 -1.06953 -1.1852 
0.61 -1.07126 -1.19202 
0.611 -1.07298 -1.19887 
0.612 -1.07469 -1.20574 
0.613 -1.07639 -1.21264 
0.614 -1.07807 -1.21957 
0.615 -1.07974 -1.22653 
0.616 -1.08139 -1.23351 
0.617 -1.08304 -1.24052 
0.618 -1.08466 -1.24756 
0.619 -1.08628 -1.25462 
0.62 -1.08787 -1.26171 
0.621 -1.08946 -1.26883 
0.622 -1.09103 -1.27598 
0.623 -1.09258 -1.28315 
0.624 -1.09412 -1.29036 
0.625 -1.09564 -1.29759 
0.626 -1.09715 -1.30484 
0.627 -1.09864 -1.31213 
0.628 -1.10012 -1.31944 
0.629 -1.10158 -1.32678 
0.63 -1.10302 -1.33415 
0.631 -1.10445 -1.34155 
0.632 -1.10586 -1.34898 
0.633 -1.10725 -1.35643 
0.634 -1.10862 -1.36392 
0.635 -1.10998 -1.37143 
0.636 -1.11132 -1.37897 
0.637 -1.11264 -1.38654 
0.638 -1.11394 -1.39414 
0.639 -1.11523 -1.40176 
0.64 -1.11649 -1.40942 
0.641 -1.11774 -1.41711 
0.642 -1.11897 -1.42482 
0.643 -1.12017 -1.43256 
0.644 -1.12136 -1.44034 
0.645 -1.12253 -1.44814 
0.646 -1.12368 -1.45597 
0.647 -1.1248 -1.46383 
0.648 -1.12591 -1.47173 
0.649 -1.127 -1.47965 
0.65 -1.12806 -1.4876 
0.651 -1.12911 -1.49558 
0.652 -1.13013 -1.50359 
0.653 -1.13113 -1.51163 
0.654 -1.1321 -1.5197 
0.655 -1.13306 -1.52781 
0.656 -1.13399 -1.53594 
0.657 -1.1349 -1.5441 
0.658 -1.13578 -1.5523 
0.659 -1.13665 -1.56052 
0.66 -1.13748 -1.56878 
0.661 -1.1383 -1.57706 
0.662 -1.13909 -1.58538 
0.663 -1.13985 -1.59373 
0.664 -1.14059 -1.60211 
0.665 -1.14131 -1.61052 
0.666 -1.142 -1.61896 
0.667 -1.14266 -1.62743 
0.668 -1.1433 -1.63593 
0.669 -1.14391 -1.64447 
0.67 -1.14449 -1.65304 
0.671 -1.14505 -1.66164 
0.672 -1.14557 -1.67027 
0.673 -1.14608 -1.67893 
0.674 -1.14655 -1.68763 
0.675 -1.14699 -1.69636 
0.676 -1.14741 -1.70511 
0.677 -1.1478 -1.71391 
0.678 -1.14816 -1.72273 
0.679 -1.14848 -1.73159 
0.68 -1.14878 -1.74048 
0.681 -1.14905 -1.7494 
0.682 -1.14929 -1.75835 
0.683 -1.1495 -1.76734 
0.684 -1.14967 -1.77636 
0.685 -1.14982 -1.78542 
0.686 -1.14993 -1.7945 
0.687 -1.15001 -1.80362 
0.688 -1.15005 -1.81277 
0.689 -1.15007 -1.82196 
0.69 -1.15005 -1.83118 
0.691 -1.15 -1.84043 
0.692 -1.14991 -1.84972 
0.693 -1.14979 -1.85904 
0.694 -1.14963 -1.8684 
0.695 -1.14944 -1.87779 
0.696 -1.14921 -1.88721 
0.697 -1.14895 -1.89667 
0.698 -1.14865 -1.90616 
0.699 -1.14831 -1.91568 
0.7 -1.14794 -1.92524 
0.701 -1.14753 -1.93484 
0.702 -1.14708 -1.94446 
0.703 -1.14659 -1.95413 
0.704 -1.14607 -1.96383 
0.705 -1.1455 -1.97356 
0.706 -1.1449 -1.98333 
0.707 -1.14426 -1.99313 
0.708 -1.14357 -2.00297 
0.709 -1.14285 -2.01284 
0.71 -1.14208 -2.02275 
0.711 -1.14127 -2.03269 
0.712 -1.14042 -2.04267 
0.713 -1.13953 -2.05269 
0.714 -1.1386 -2.06274 
0.715 -1.13762 -2.07283 
0.716 -1.1366 -2.08295 
0.717 -1.13553 -2.09311 
0.718 -1.13442 -2.1033 
0.719 -1.13327 -2.11353 
0.72 -1.13207 -2.1238 
0.721 -1.13082 -2.1341 
0.722 -1.12953 -2.14444 
0.723 -1.12819 -2.15482 
0.724 -1.1268 -2.16523 
0.725 -1.12537 -2.17568 
0.726 -1.12389 -2.18616 
0.727 -1.12235 -2.19669 
0.728 -1.12077 -2.20725 
0.729 -1.11914 -2.21784 
0.73 -1.11746 -2.22848 
0.731 -1.11573 -2.23915 
0.732 -1.11395 -2.24985 
0.733 -1.11211 -2.2606 
0.734 -1.11023 -2.27138 
0.735 -1.10829 -2.2822 
0.736 -1.1063 -2.29306 
0.737 -1.10425 -2.30396 
0.738 -1.10215 -2.31489 
0.739 -1.1 -2.32586 
0.74 -1.09779 -2.33687 
0.741 -1.09552 -2.34792 
0.742 -1.0932 -2.35901 
0.743 -1.09082 -2.37013 
0.744 -1.08839 -2.38129 
0.745 -1.08589 -2.39249 
0.746 -1.08334 -2.40373 
0.747 -1.08073 -2.41501 
0.748 -1.07806 -2.42633 
0.749 -1.07533 -2.43768 
0.75 -1.07254 -2.44908 
0.751 -1.06968 -2.46051 
0.752 -1.06677 -2.47198 
0.753 -1.06379 -2.48349 
0.754 -1.06075 -2.49504 
0.755 -1.05765 -2.50663 
0.756 -1.05448 -2.51826 
0.757 -1.05125 -2.52993 
0.758 -1.04795 -2.54164 
0.759 -1.04458 -2.55339 
0.76 -1.04115 -2.56518 
0.761 -1.03766 -2.577 
